Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Backtracking,12,2,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.000990152359008789,66
Forward Checking,12,2,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009980201721191406,66
Backtracking,12,3,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0010135173797607422,66
Forward Checking,12,3,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009865760803222656,66
Backtracking,12,4,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0010006427764892578,66
Forward Checking,12,4,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0010058879852294922,66
Backtracking,12,5,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0012111663818359375,66
Forward Checking,12,5,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.001001119613647461,66
Backtracking,12,6,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009999275207519531,66
Forward Checking,12,6,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.001001119613647461,66
Backtracking,12,7,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009999275207519531,66
Forward Checking,12,7,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009999275207519531,66
Backtracking,12,8,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0010001659393310547,66
Forward Checking,12,8,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009999275207519531,66
Backtracking,12,9,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009999275207519531,66
Forward Checking,12,9,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0010008811950683594,66
Backtracking,12,10,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009992122650146484,66
Forward Checking,12,10,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0010001659393310547,66
Backtracking,12,11,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0019996166229248047,66
Forward Checking,12,11,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0,66
