Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Simulated Annealing,12,16,"[8, 10, 4, 0, 5, 8, 11, 11, 7, 1, 2, 9]",3,False,0.0054931640625,688
Hill Climbing,12,17,"[3, 0, 8, 8, 4, 9, 1, 5, 10, 6, 11, 2]",1,False,0.005490303039550781,5
Simulated Annealing,12,17,"[5, 4, 10, 7, 2, 6, 1, 9, 0, 8, 3, 11]",1,False,0.005999088287353516,688
Hill Climbing,12,18,"[11, 7, 1, 4, 5, 8, 0, 3, 6, 9, 10, 2]",3,False,0.006170749664306641,5
Simulated Annealing,12,18,"[1, 5, 5, 9, 0, 3, 11, 9, 7, 2, 10, 8]",2,False,0.0059812068939208984,688
Hill Climbing,12,19,"[1, 5, 2, 10, 6, 4, 2, 0, 11, 3, 7, 9]",1,False,0.0054931640625,5
Simulated Annealing,12,19,"[7, 3, 10, 2, 4, 9, 0, 8, 11, 1, 6, 2]",1,False,0.0050199031829833984,688
Hill Climbing,12,20,"[8, 0, 9, 6, 2, 5, 1, 8, 4, 11, 7, 3]",1,False,0.011495828628540039,7
Simulated Annealing,12,20,"[5, 3, 6, 10, 2, 11, 1, 8, 2, 0, 9, 7]",1,False,0.010168790817260742,688
Hill Climbing,12,21,"[5, 8, 0, 0, 4, 6, 10, 7, 2, 11, 9, 1]",2,False,0.013781547546386719,5
Simulated Annealing,12,21,"[5, 7, 0, 6, 0, 9, 1, 4, 10, 8, 2, 11]",1,False,0.0075397491455078125,688
Hill Climbing,12,22,"[6, 9, 3, 8, 0, 4, 1, 5, 0, 11, 7, 2]",1,False,0.006079673767089844,5
Simulated Annealing,12,22,"[7, 2, 10, 3, 0, 8, 5, 11, 1, 6, 4, 9]",0,True,0.0045909881591796875,659
Hill Climbing,12,23,"[4, 10, 5, 9, 6, 0, 11, 7, 5, 2, 8, 1]",3,False,0.003529071807861328,3
Simulated Annealing,12,23,"[10, 4, 2, 5, 9, 11, 3, 5, 6, 8, 1, 7]",2,False,0.0057222843170166016,688
Hill Climbing,12,24,"[3, 1, 11, 2, 5, 9, 6, 4, 0, 10, 8, 7]",3,False,0.006975650787353516,6
Simulated Annealing,12,24,"[8, 6, 2, 7, 11, 3, 0, 9, 1, 4, 1, 10]",2,False,0.00565648078918457,688
Hill Climbing,12,25,"[10, 7, 4, 1, 5, 0, 11, 6, 8, 2, 2, 9]",2,False,0.0049779415130615234,5
Simulated Annealing,12,25,"[4, 9, 1, 9, 7, 10, 6, 2, 0, 5, 3, 8]",2,False,0.005493879318237305,688
Hill Climbing,12,26,"[7, 0, 3, 5, 10, 1, 11, 4, 8, 3, 0, 2]",2,False,0.003986358642578125,4
Simulated Annealing,12,26,"[3, 9, 7, 1, 3, 0, 6, 11, 0, 2, 4, 8]",2,False,0.006514072418212891,688
Hill Climbing,12,27,"[5, 9, 4, 10, 7, 11, 2, 0, 3, 6, 8, 1]",1,False,0.006487369537353516,6
Simulated Annealing,12,27,"[3, 7, 10, 4, 0, 5, 8, 2, 9, 6, 1, 5]",2,False,0.004987001419067383,688
Hill Climbing,12,28,"[6, 3, 7, 11, 2, 5, 10, 4, 0, 8, 5, 1]",2,False,0.004514455795288086,3
Simulated Annealing,12,28,"[5, 11, 0, 4, 1, 8, 10, 3, 10, 2, 9, 6]",2,False,0.004986763000488281,688
Hill Climbing,12,29,"[7, 4, 11, 9, 1, 5, 2, 0, 3, 10, 8, 10]",3,False,0.004502773284912109,3
Simulated Annealing,12,29,"[1, 9, 11, 6, 4, 0, 10, 5, 7, 2, 0, 8]",2,False,0.004984378814697266,688
Hill Climbing,12,30,"[6, 8, 0, 2, 7, 9, 11, 1, 4, 10, 5, 11]",1,False,0.00651860237121582,5
Simulated Annealing,12,30,"[4, 10, 8, 5, 3, 1, 9, 0, 5, 7, 11, 6]",2,False,0.005980968475341797,688
Hill Climbing,15,1,"[9, 13, 4, 7, 1, 6, 11, 1, 7, 0, 8, 14, 12, 3, 10]",4,False,0.01294708251953125,5
Simulated Annealing,15,1,"[13, 10, 8, 0, 11, 4, 14, 0, 11, 5, 2, 6, 12, 3, 8]",3,False,0.006489753723144531,688
Hill Climbing,15,2,"[5, 12, 2, 12, 14, 7, 10, 1, 3, 8, 0, 8, 13, 11, 6]",2,False,0.026415109634399414,5
Simulated Annealing,15,2,"[2, 9, 7, 2, 14, 12, 6, 1, 8, 4, 13, 0, 3, 11, 11]",3,False,0.017590761184692383,688
Hill Climbing,15,3,"[2, 11, 14, 7, 9, 4, 0, 1, 12, 5, 8, 6, 13, 10, 3]",3,False,0.016502857208251953,5
Simulated Annealing,15,3,"[13, 7, 1, 3, 8, 14, 11, 9, 2, 0, 5, 12, 10, 5, 7]",2,False,0.007486820220947266,688
Hill Climbing,15,4,"[10, 2, 9, 3, 12, 8, 11, 0, 6, 13, 1, 5, 7, 2, 4]",3,False,0.013561487197875977,5
Simulated Annealing,15,4,"[2, 9, 5, 14, 2, 0, 7, 14, 11, 13, 10, 3, 6, 12, 1]",3,False,0.007486820220947266,688
Hill Climbing,15,5,"[0, 9, 3, 10, 7, 4, 10, 12, 14, 5, 2, 6, 13, 11, 1]",2,False,0.016729354858398438,6
